winner_id

Match ID: 532720, Team ID : 2580, Probabilité de l'équipe ID: 0.8822566374000793
Match ID: 532722, Team ID : 33, Probabilité de l'équipe ID: 0.45394347437087834
Match ID: 532724, Team ID : 33, Probabilité de l'équipe ID: 0.7241796202183874
Match ID: 532726, Team ID : 2884, Probabilité de l'équipe ID: 0.502119979059641
Match ID: 532728, Team ID : 157, Probabilité de l'équipe ID: 0.2752350905294024
Match ID: 532730, Team ID : 365, Probabilité de l'équipe ID: 0.06293585819313877
Match ID: 532732, Team ID : 2580, Probabilité de l'équipe ID: 0.8437961505941427
Match ID: 532734, Team ID : 158, Probabilité de l'équipe ID: 0.42484624587325587
Match ID: 532736, Team ID : 365, Probabilité de l'équipe ID: 0.062367476413788855
Match ID: 532738, Team ID : 157, Probabilité de l'équipe ID: 0.276769942155428
Match ID: 532740, Team ID : 158, Probabilité de l'équipe ID: 0.36079880879278525
Match ID: 532742, Team ID : 2580, Probabilité de l'équipe ID: 0.6686988834513425
Match ID: 532744, Team ID : 157, Probabilité de l'équipe ID: 0.9321633729558945
Match ID: 532746, Team ID : 33, Probabilité de l'équipe ID: 0.8016769360869305
Match ID: 532748, Team ID : 2884, Probabilité de l'équipe ID: 0.929989435078792
Match ID: 532750, Team ID : 158, Probabilité de l'équipe ID: 0.8080839712568266
Match ID: 532752, Team ID : 158, Probabilité de l'équipe ID: 0.7303131826915967
Match ID: 532754, Team ID : 2884, Probabilité de l'équipe ID: 0.5086251719832239
Match ID: 532756, Team ID : 2580, Probabilité de l'équipe ID: 0.8329843827152578
Match ID: 532758, Team ID : 123146, Probabilité de l'équipe ID: 0.5249914192554096
Match ID: 532760, Team ID : 2580, Probabilité de l'équipe ID: 0.5911845978500202
Match ID: 532762, Team ID : 156, Probabilité de l'équipe ID: 0.5352568748366308
Match ID: 532764, Team ID : 156, Probabilité de l'équipe ID: 0.5358733775889961
Match ID: 532766, Team ID : 2884, Probabilité de l'équipe ID: 0.07800092338482148
Match ID: 532768, Team ID : 123146, Probabilité de l'équipe ID: 0.9141368937635963
Match ID: 532770, Team ID : 2884, Probabilité de l'équipe ID: 0.9301201899185114
Match ID: 532772, Team ID : 2580, Probabilité de l'équipe ID: 0.9416507513423176
Match ID: 532774, Team ID : 2580, Probabilité de l'équipe ID: 0.9416507513423176
Match ID: 532776, Team ID : 123146, Probabilité de l'équipe ID: 0.5792618161735985
Match ID: 532778, Team ID : 158, Probabilité de l'équipe ID: 0.9288458732935976
Match ID: 532780, Team ID : 2884, Probabilité de l'équipe ID: 0.761765698173381
Match ID: 532784, Team ID : 158, Probabilité de l'équipe ID: 0.9106090669338098
Match ID: 532786, Team ID : 2580, Probabilité de l'équipe ID: 0.7797085491090033
Match ID: 532879, Team ID : 2882, Probabilité de l'équipe ID: 0.5820707820447312
Match ID: 532886, Team ID : 63, Probabilité de l'équipe ID: 0.07240611192719851
Match ID: 532893, Team ID : 64, Probabilité de l'équipe ID: 0.06559356446986611
Match ID: 532920, Team ID : 120, Probabilité de l'équipe ID: 0.5142526305644961
Match ID: 532926, Team ID : 2883, Probabilité de l'équipe ID: 0.2254673760208859
Match ID: 532932, Team ID : 63, Probabilité de l'équipe ID: 0.435838476592592
Match ID: 532942, Team ID : 75013, Probabilité de l'équipe ID: 0.3214958964099228
Match ID: 532950, Team ID : 2882, Probabilité de l'équipe ID: 0.9308390006686047
Match ID: 532958, Team ID : 1453, Probabilité de l'équipe ID: 0.8126607526120223
Match ID: 532965, Team ID : 2883, Probabilité de l'équipe ID: 0.4554046258900547
Match ID: 532973, Team ID : 75013, Probabilité de l'équipe ID: 0.48004789650893115
Match ID: 532981, Team ID : 1453, Probabilité de l'équipe ID: 0.9465290177635595
Match ID: 532989, Team ID : 2883, Probabilité de l'équipe ID: 0.0715158919040132
Match ID: 532996, Team ID : 2882, Probabilité de l'équipe ID: 0.10079803075120504
Match ID: 533019, Team ID : 1453, Probabilité de l'équipe ID: 0.8840544749157875
Match ID: 533022, Team ID : 75013, Probabilité de l'équipe ID: 0.9353462945228228
Match ID: 533033, Team ID : 2882, Probabilité de l'équipe ID: 0.609646489337078
Match ID: 533042, Team ID : 100, Probabilité de l'équipe ID: 0.9432028216424871
Match ID: 533056, Team ID : 75013, Probabilité de l'équipe ID: 0.3558409783820859
Match ID: 533061, Team ID : 64, Probabilité de l'équipe ID: 0.36831164948469686
Match ID: 533066, Team ID : 100, Probabilité de l'équipe ID: 0.7762491982777824
Match ID: 533082, Team ID : 63, Probabilité de l'équipe ID: 0.40219598127726536
Match ID: 533091, Team ID : 2883, Probabilité de l'équipe ID: 0.9221558532856907
Match ID: 533099, Team ID : 1453, Probabilité de l'équipe ID: 0.335388413277527
Match ID: 533111, Team ID : 63, Probabilité de l'équipe ID: 0.33460589855069206
Match ID: 533120, Team ID : 75013, Probabilité de l'équipe ID: 0.3513638189469378
Match ID: 533133, Team ID : 1452, Probabilité de l'équipe ID: 0.5184778369049885
Match ID: 533142, Team ID : 100, Probabilité de l'équipe ID: 0.9448238318322366
Match ID: 533146, Team ID : 1589, Probabilité de l'équipe ID: 0.9433610835969766
Match ID: 533156, Team ID : 1453, Probabilité de l'équipe ID: 0.9072198874801423
Match ID: 533167, Team ID : 120, Probabilité de l'équipe ID: 0.9287440457261831
Match ID: 533180, Team ID : 63, Probabilité de l'équipe ID: 0.3210373123137617
Match ID: 533199, Team ID : 2883, Probabilité de l'équipe ID: 0.29802206873060444
Match ID: 533206, Team ID : 2882, Probabilité de l'équipe ID: 0.542080754713073
Match ID: 533209, Team ID : 1452, Probabilité de l'équipe ID: 0.9371453876982623
Match ID: 533210, Team ID : 1589, Probabilité de l'équipe ID: 0.8075772164893287
Match ID: 533211, Team ID : 120, Probabilité de l'équipe ID: 0.34316939579592964
Match ID: 533212, Team ID : 100, Probabilité de l'équipe ID: 0.9448132205091897
Match ID: 533213, Team ID : 64, Probabilité de l'équipe ID: 0.058445255378201236
Match ID: 533214, Team ID : 1452, Probabilité de l'équipe ID: 0.7112803285397706
Match ID: 533215, Team ID : 2883, Probabilité de l'équipe ID: 0.2696886141332362
Match ID: 533216, Team ID : 120, Probabilité de l'équipe ID: 0.3097101854333482
Match ID: 533217, Team ID : 64, Probabilité de l'équipe ID: 0.05902070761313277
Match ID: 533218, Team ID : 2882, Probabilité de l'équipe ID: 0.2785703054147697
Match ID: 533219, Team ID : 2883, Probabilité de l'équipe ID: 0.31722344424561644
Match ID: 533220, Team ID : 1452, Probabilité de l'équipe ID: 0.5814827382846612
Match ID: 533221, Team ID : 75013, Probabilité de l'équipe ID: 0.39825466843195906
Match ID: 533222, Team ID : 100, Probabilité de l'équipe ID: 0.9446372785279357
Match ID: 533223, Team ID : 64, Probabilité de l'équipe ID: 0.357034774354823
Match ID: 533224, Team ID : 63, Probabilité de l'équipe ID: 0.3456271711252854
Match ID: 536585, Team ID : 395, Probabilité de l'équipe ID: 0.5081606008994906
Match ID: 536586, Team ID : 395, Probabilité de l'équipe ID: 0.5205666273341669
Match ID: 536587, Team ID : 37, Probabilité de l'équipe ID: 0.26001750592357
Match ID: 536588, Team ID : 204, Probabilité de l'équipe ID: 0.2818003426014406
Match ID: 536589, Team ID : 395, Probabilité de l'équipe ID: 0.47279232870440396
Match ID: 536590, Team ID : 37, Probabilité de l'équipe ID: 0.34138248396699733
Match ID: 536591, Team ID : 2721, Probabilité de l'équipe ID: 0.11966067391270885
Match ID: 536592, Team ID : 114, Probabilité de l'équipe ID: 0.740350537235219
Match ID: 536593, Team ID : 2721, Probabilité de l'équipe ID: 0.4081968918951526
Match ID: 536594, Team ID : 204, Probabilité de l'équipe ID: 0.5575044933229564
Match ID: 536595, Team ID : 204, Probabilité de l'équipe ID: 0.26676738836119046
Match ID: 536596, Team ID : 2721, Probabilité de l'équipe ID: 0.14093731878411803
Match ID: 536597, Team ID : 88, Probabilité de l'équipe ID: 0.7883211626915776
Match ID: 536598, Team ID : 20, Probabilité de l'équipe ID: 0.5064798787480929
Match ID: 536599, Team ID : 3983, Probabilité de l'équipe ID: 0.31845653338311497
Match ID: 536600, Team ID : 3983, Probabilité de l'équipe ID: 0.3750670015997389
Match ID: 536601, Team ID : 88, Probabilité de l'équipe ID: 0.7229724738521521
Match ID: 536602, Team ID : 115, Probabilité de l'équipe ID: 0.42372028214510016
Match ID: 536603, Team ID : 204, Probabilité de l'équipe ID: 0.7647975448627435
Match ID: 536604, Team ID : 395, Probabilité de l'équipe ID: 0.37939767604866603
Match ID: 536605, Team ID : 394, Probabilité de l'équipe ID: 0.935465615101885
Match ID: 536606, Team ID : 204, Probabilité de l'équipe ID: 0.7667654421065231
Match ID: 536607, Team ID : 394, Probabilité de l'équipe ID: 0.2867751754979423
Match ID: 536608, Team ID : 395, Probabilité de l'équipe ID: 0.21970331298984233
Match ID: 536609, Team ID : 88, Probabilité de l'équipe ID: 0.7679460559811239
Match ID: 536610, Team ID : 394, Probabilité de l'équipe ID: 0.5688999045291163
Match ID: 536611, Team ID : 114, Probabilité de l'équipe ID: 0.4451606401548773
Match ID: 536612, Team ID : 394, Probabilité de l'équipe ID: 0.5264638313855701
Match ID: 536613, Team ID : 394, Probabilité de l'équipe ID: 0.36651745097655464
Match ID: 536614, Team ID : 3983, Probabilité de l'équipe ID: 0.8030684053487942
Match ID: 536615, Team ID : 204, Probabilité de l'équipe ID: 0.3851224323516143
Match ID: 536616, Team ID : 20, Probabilité de l'équipe ID: 0.506784391199974
Match ID: 536617, Team ID : 20, Probabilité de l'équipe ID: 0.5065144302348368
Match ID: 536618, Team ID : 204, Probabilité de l'équipe ID: 0.2811160631080884
Match ID: 536619, Team ID : 2721, Probabilité de l'équipe ID: 0.48198356671259096
Match ID: 536620, Team ID : 2721, Probabilité de l'équipe ID: 0.10590568714033488
Match ID: 536621, Team ID : 2721, Probabilité de l'équipe ID: 0.12760143883845715
Match ID: 536622, Team ID : 394, Probabilité de l'équipe ID: 0.48595764300062017
Match ID: 536623, Team ID : 37, Probabilité de l'équipe ID: 0.27141650935751827
Match ID: 536624, Team ID : 88, Probabilité de l'équipe ID: 0.8434656601779809
Match ID: 536625, Team ID : 20, Probabilité de l'équipe ID: 0.5513060292605498
Match ID: 536626, Team ID : 395, Probabilité de l'équipe ID: 0.5659801340170217
Match ID: 536627, Team ID : 88, Probabilité de l'équipe ID: 0.7960521289174155
Match ID: 536628, Team ID : 114, Probabilité de l'équipe ID: 0.5502627463332921
Match ID: 536629, Team ID : 2721, Probabilité de l'équipe ID: 0.45988564616319383
Match ID: 536630, Team ID : 20, Probabilité de l'équipe ID: 0.5206796221453112
Match ID: 536631, Team ID : 2721, Probabilité de l'équipe ID: 0.4572037414547552
Match ID: 536632, Team ID : 20, Probabilité de l'équipe ID: 0.5703125436851906
Match ID: 536633, Team ID : 3983, Probabilité de l'équipe ID: 0.32984217836877483
Match ID: 537021, Team ID : 1536, Probabilité de l'équipe ID: 0.7499045710688741
Match ID: 537022, Team ID : 390, Probabilité de l'équipe ID: 0.43700749341072687
Match ID: 537023, Team ID : 387, Probabilité de l'équipe ID: 0.7667363616293894
Match ID: 537024, Team ID : 390, Probabilité de l'équipe ID: 0.5879891977680403
Match ID: 537025, Team ID : 387, Probabilité de l'équipe ID: 0.7003274238171331
Match ID: 537026, Team ID : 390, Probabilité de l'équipe ID: 0.5850221401810244
Match ID: 537027, Team ID : 1537, Probabilité de l'équipe ID: 0.19436831600410565
Match ID: 537028, Team ID : 389, Probabilité de l'équipe ID: 0.149545220579624
Match ID: 537029, Team ID : 1536, Probabilité de l'équipe ID: 0.5471575284399479
Match ID: 537030, Team ID : 1385, Probabilité de l'équipe ID: 0.24782589292771334
Match ID: 537031, Team ID : 1097, Probabilité de l'équipe ID: 0.3759460996172742
Match ID: 537032, Team ID : 390, Probabilité de l'équipe ID: 0.9429842414463966
Match ID: 537033, Team ID : 113, Probabilité de l'équipe ID: 0.9066184798071355
Match ID: 537034, Team ID : 311, Probabilité de l'équipe ID: 0.3278638949884888
Match ID: 537035, Team ID : 1097, Probabilité de l'équipe ID: 0.8910728072434155
Match ID: 537036, Team ID : 113, Probabilité de l'équipe ID: 0.4940748707608666
Match ID: 537037, Team ID : 1535, Probabilité de l'équipe ID: 0.5102073305612865
Match ID: 537038, Team ID : 389, Probabilité de l'équipe ID: 0.24266561572263412
Match ID: 537039, Team ID : 1385, Probabilité de l'équipe ID: 0.058989882544197084
Match ID: 537040, Team ID : 1097, Probabilité de l'équipe ID: 0.5287121020175014
Match ID: 537041, Team ID : 1537, Probabilité de l'équipe ID: 0.18148321796078243
Match ID: 537042, Team ID : 1385, Probabilité de l'équipe ID: 0.2724314392692541
Match ID: 537043, Team ID : 1536, Probabilité de l'équipe ID: 0.06255420312830388
Match ID: 537044, Team ID : 387, Probabilité de l'équipe ID: 0.6998920410281542
Match ID: 537045, Team ID : 390, Probabilité de l'équipe ID: 0.9439686726429171
Match ID: 537046, Team ID : 1535, Probabilité de l'équipe ID: 0.6450646217632953
Match ID: 537047, Team ID : 1537, Probabilité de l'équipe ID: 0.21965283746832848
Match ID: 537048, Team ID : 1385, Probabilité de l'équipe ID: 0.7813710322456295
Match ID: 537049, Team ID : 311, Probabilité de l'équipe ID: 0.8392687510163885
Match ID: 537050, Team ID : 1536, Probabilité de l'équipe ID: 0.3155691768536551
Match ID: 537051, Team ID : 1535, Probabilité de l'équipe ID: 0.4864689202735876
Match ID: 537052, Team ID : 1097, Probabilité de l'équipe ID: 0.891902969637108
Match ID: 537053, Team ID : 1535, Probabilité de l'équipe ID: 0.6519225410033032
Match ID: 537054, Team ID : 1537, Probabilité de l'équipe ID: 0.2921218075503452
Match ID: 537055, Team ID : 1097, Probabilité de l'équipe ID: 0.7556017055381757
Match ID: 537056, Team ID : 1536, Probabilité de l'équipe ID: 0.257298095196232
Match ID: 537057, Team ID : 1385, Probabilité de l'équipe ID: 0.06087104798365763
Match ID: 537058, Team ID : 113, Probabilité de l'équipe ID: 0.5725519606578926
Match ID: 537059, Team ID : 390, Probabilité de l'équipe ID: 0.9432926668380966
Match ID: 537060, Team ID : 1537, Probabilité de l'équipe ID: 0.15039091136598076
Match ID: 537061, Team ID : 1536, Probabilité de l'équipe ID: 0.06572118066336077
Match ID: 537062, Team ID : 311, Probabilité de l'équipe ID: 0.5753097256711179
Match ID: 537063, Team ID : 389, Probabilité de l'équipe ID: 0.24519990801213734
Match ID: 537064, Team ID : 387, Probabilité de l'équipe ID: 0.6479788420458925
Match ID: 537065, Team ID : 389, Probabilité de l'équipe ID: 0.521024992666256
Match ID: 537066, Team ID : 387, Probabilité de l'équipe ID: 0.9325514384362747
Match ID: 537067, Team ID : 1535, Probabilité de l'équipe ID: 0.3601554535336656
Match ID: 537068, Team ID : 1537, Probabilité de l'équipe ID: 0.25897682510082365
Match ID: 537069, Team ID : 387, Probabilité de l'équipe ID: 0.5809715150361768
Match ID: 537078, Team ID : 1583, Probabilité de l'équipe ID: 0.4323692039681249
Match ID: 537079, Team ID : 415, Probabilité de l'équipe ID: 0.43169896840950583
Match ID: 537080, Team ID : 228, Probabilité de l'équipe ID: 0.37376701006957747
Match ID: 537081, Team ID : 124409, Probabilité de l'équipe ID: 0.05768249026055888
Match ID: 537082, Team ID : 80, Probabilité de l'équipe ID: 0.9142029500304357
Match ID: 537083, Team ID : 1583, Probabilité de l'équipe ID: 0.29805715703028984
Match ID: 537084, Team ID : 228, Probabilité de l'équipe ID: 0.8621555986656405
Match ID: 537085, Team ID : 1584, Probabilité de l'équipe ID: 0.17846060638355174
Match ID: 537086, Team ID : 124409, Probabilité de l'équipe ID: 0.058139595862774104
Match ID: 537087, Team ID : 80, Probabilité de l'équipe ID: 0.937524351997118
Match ID: 537088, Team ID : 417, Probabilité de l'équipe ID: 0.4301657805827556
Match ID: 537089, Team ID : 124409, Probabilité de l'équipe ID: 0.35914353836682766
Match ID: 537090, Team ID : 1584, Probabilité de l'équipe ID: 0.6955929513940778
Match ID: 537091, Team ID : 124408, Probabilité de l'équipe ID: 0.06300806132423978
Match ID: 537092, Team ID : 1584, Probabilité de l'équipe ID: 0.18226681241949588
Match ID: 537093, Team ID : 1583, Probabilité de l'équipe ID: 0.45854134105121586
Match ID: 537094, Team ID : 124408, Probabilité de l'équipe ID: 0.06204307593384378
Match ID: 537095, Team ID : 124408, Probabilité de l'équipe ID: 0.18196541674620134
Match ID: 537096, Team ID : 124409, Probabilité de l'équipe ID: 0.05651734799061007
Match ID: 537097, Team ID : 415, Probabilité de l'équipe ID: 0.8781450742068776
Match ID: 537098, Team ID : 417, Probabilité de l'équipe ID: 0.24238394837329058
Match ID: 537099, Team ID : 228, Probabilité de l'équipe ID: 0.9333639303512756
Match ID: 537100, Team ID : 80, Probabilité de l'équipe ID: 0.3897023773759562
Match ID: 537101, Team ID : 415, Probabilité de l'équipe ID: 0.9310543366985146
Match ID: 537102, Team ID : 228, Probabilité de l'équipe ID: 0.3268335541519347
Match ID: 537103, Team ID : 124409, Probabilité de l'équipe ID: 0.05791742524955903
Match ID: 537104, Team ID : 1584, Probabilité de l'équipe ID: 0.3979138625119326
Match ID: 537105, Team ID : 417, Probabilité de l'équipe ID: 0.39346061925875075
Match ID: 537106, Team ID : 1584, Probabilité de l'équipe ID: 0.7070661915502106
Match ID: 537107, Team ID : 80, Probabilité de l'équipe ID: 0.24068977939941144
Match ID: 537108, Team ID : 124409, Probabilité de l'équipe ID: 0.05782918831410595
Match ID: 537109, Team ID : 124408, Probabilité de l'équipe ID: 0.782753377656824
Match ID: 537110, Team ID : 415, Probabilité de l'équipe ID: 0.35618397307043154
Match ID: 537111, Team ID : 124409, Probabilité de l'équipe ID: 0.057377358872357266
Match ID: 537112, Team ID : 417, Probabilité de l'équipe ID: 0.21186664321051074
Match ID: 537113, Team ID : 417, Probabilité de l'équipe ID: 0.9382429889445628
Match ID: 537115, Team ID : 415, Probabilité de l'équipe ID: 0.3937790519060928
