winner_id

Match ID: 532718, Team ID : 2580, Win or loose : 0, Probabilité de l'équipe ID: 0.2814471893897924
Match ID: 532720, Team ID : 2580, Win or loose : 0, Probabilité de l'équipe ID: 0.09177728895424749
Match ID: 532722, Team ID : 33, Win or loose : 1, Probabilité de l'équipe ID: 0.9524612437421313
Match ID: 532724, Team ID : 33, Win or loose : 1, Probabilité de l'équipe ID: 0.9523206442006662
Match ID: 532726, Team ID : 2884, Win or loose : 1, Probabilité de l'équipe ID: 0.9464058677217659
Match ID: 532728, Team ID : 157, Win or loose : 0, Probabilité de l'équipe ID: 0.06077044930579038
Match ID: 532730, Team ID : 365, Win or loose : 1, Probabilité de l'équipe ID: 0.5036612602665302
Match ID: 532732, Team ID : 2580, Win or loose : 1, Probabilité de l'équipe ID: 0.8888612807599742
Match ID: 532734, Team ID : 158, Win or loose : 1, Probabilité de l'équipe ID: 0.8390074751148274
Match ID: 532736, Team ID : 365, Win or loose : 0, Probabilité de l'équipe ID: 0.05345425008710023
Match ID: 532738, Team ID : 157, Win or loose : 1, Probabilité de l'équipe ID: 0.8849226045518475
Match ID: 532740, Team ID : 158, Win or loose : 1, Probabilité de l'équipe ID: 0.534685620115164
Match ID: 532742, Team ID : 2580, Win or loose : 0, Probabilité de l'équipe ID: 0.19189425948354502
Match ID: 532744, Team ID : 157, Win or loose : 1, Probabilité de l'équipe ID: 0.7581550594192843
Match ID: 532746, Team ID : 33, Win or loose : 0, Probabilité de l'équipe ID: 0.33654246266313176
Match ID: 532748, Team ID : 2884, Win or loose : 0, Probabilité de l'équipe ID: 0.053137469009300074
Match ID: 532750, Team ID : 158, Win or loose : 1, Probabilité de l'équipe ID: 0.7470319139773947
Match ID: 532752, Team ID : 158, Win or loose : 0, Probabilité de l'équipe ID: 0.051316546759071956
Match ID: 532754, Team ID : 2884, Win or loose : 1, Probabilité de l'équipe ID: 0.9490696823786452
Match ID: 532756, Team ID : 2580, Win or loose : 1, Probabilité de l'équipe ID: 0.9519703477109509
Match ID: 532758, Team ID : 123146, Win or loose : 1, Probabilité de l'équipe ID: 0.9500901933871935
Match ID: 532760, Team ID : 2580, Win or loose : 1, Probabilité de l'équipe ID: 0.6085660135193707
Match ID: 532762, Team ID : 156, Win or loose : 1, Probabilité de l'équipe ID: 0.7302372865790401
Match ID: 532764, Team ID : 156, Win or loose : 1, Probabilité de l'équipe ID: 0.6968621747318373
Match ID: 532766, Team ID : 2884, Win or loose : 0, Probabilité de l'équipe ID: 0.2672907070192718
Match ID: 532768, Team ID : 123146, Win or loose : 1, Probabilité de l'équipe ID: 0.9510507689195041
Match ID: 532770, Team ID : 2884, Win or loose : 1, Probabilité de l'équipe ID: 0.9476261295987666
Match ID: 532772, Team ID : 2580, Win or loose : 0, Probabilité de l'équipe ID: 0.053866359897654516
Match ID: 532774, Team ID : 2580, Win or loose : 1, Probabilité de l'équipe ID: 0.8311840430415417
Match ID: 532776, Team ID : 123146, Win or loose : 1, Probabilité de l'équipe ID: 0.7758326449745299
Match ID: 532778, Team ID : 158, Win or loose : 0, Probabilité de l'équipe ID: 0.0758698222412255
Match ID: 532780, Team ID : 2884, Win or loose : 0, Probabilité de l'équipe ID: 0.05780516586973565
Match ID: 532784, Team ID : 158, Win or loose : 0, Probabilité de l'équipe ID: 0.2807303820351832
Match ID: 532786, Team ID : 2580, Win or loose : 1, Probabilité de l'équipe ID: 0.9515285876794733
Match ID: 532879, Team ID : 2882, Win or loose : 0, Probabilité de l'équipe ID: 0.21455547698700048
Match ID: 532886, Team ID : 63, Win or loose : 0, Probabilité de l'équipe ID: 0.14767679891323646
Match ID: 532893, Team ID : 64, Win or loose : 1, Probabilité de l'équipe ID: 0.9537326712669947
Match ID: 532920, Team ID : 120, Win or loose : 0, Probabilité de l'équipe ID: 0.20560847781591285
Match ID: 532926, Team ID : 2883, Win or loose : 0, Probabilité de l'équipe ID: 0.17997713551138267
Match ID: 532932, Team ID : 63, Win or loose : 0, Probabilité de l'équipe ID: 0.36985312918608376
Match ID: 532942, Team ID : 75013, Win or loose : 1, Probabilité de l'équipe ID: 0.8564676436023069
Match ID: 532950, Team ID : 2882, Win or loose : 1, Probabilité de l'équipe ID: 0.9500397070526321
Match ID: 532958, Team ID : 1453, Win or loose : 1, Probabilité de l'équipe ID: 0.9380112545931059
Match ID: 532965, Team ID : 2883, Win or loose : 1, Probabilité de l'équipe ID: 0.6618762191758355
Match ID: 532973, Team ID : 75013, Win or loose : 1, Probabilité de l'équipe ID: 0.9264449148347149
Match ID: 532981, Team ID : 1453, Win or loose : 0, Probabilité de l'équipe ID: 0.29547257542189986
Match ID: 532989, Team ID : 2883, Win or loose : 1, Probabilité de l'équipe ID: 0.7254481285581712
Match ID: 532996, Team ID : 2882, Win or loose : 0, Probabilité de l'équipe ID: 0.07257172767522961
Match ID: 533019, Team ID : 1453, Win or loose : 0, Probabilité de l'équipe ID: 0.35680479634402157
Match ID: 533022, Team ID : 75013, Win or loose : 1, Probabilité de l'équipe ID: 0.7291730873168417
Match ID: 533033, Team ID : 2882, Win or loose : 1, Probabilité de l'équipe ID: 0.8616260290481144
Match ID: 533042, Team ID : 100, Win or loose : 0, Probabilité de l'équipe ID: 0.10703286012724114
Match ID: 533056, Team ID : 75013, Win or loose : 0, Probabilité de l'équipe ID: 0.31042917884747473
Match ID: 533061, Team ID : 64, Win or loose : 1, Probabilité de l'équipe ID: 0.806769682761564
Match ID: 533066, Team ID : 100, Win or loose : 0, Probabilité de l'équipe ID: 0.4138865725253325
Match ID: 533082, Team ID : 63, Win or loose : 1, Probabilité de l'équipe ID: 0.891789514432938
Match ID: 533091, Team ID : 2883, Win or loose : 1, Probabilité de l'équipe ID: 0.9045026375460911
Match ID: 533099, Team ID : 1453, Win or loose : 1, Probabilité de l'équipe ID: 0.9528689405646127
Match ID: 533111, Team ID : 63, Win or loose : 1, Probabilité de l'équipe ID: 0.8836665955219253
Match ID: 533120, Team ID : 75013, Win or loose : 1, Probabilité de l'équipe ID: 0.9528709239696369
Match ID: 533133, Team ID : 1452, Win or loose : 0, Probabilité de l'équipe ID: 0.42669238355094724
Match ID: 533142, Team ID : 100, Win or loose : 1, Probabilité de l'équipe ID: 0.6318108746449485
Match ID: 533146, Team ID : 1589, Win or loose : 0, Probabilité de l'équipe ID: 0.4872092352616201
Match ID: 533156, Team ID : 1453, Win or loose : 1, Probabilité de l'équipe ID: 0.9391649593675624
Match ID: 533167, Team ID : 120, Win or loose : 1, Probabilité de l'équipe ID: 0.7228562293936547
Match ID: 533180, Team ID : 63, Win or loose : 1, Probabilité de l'équipe ID: 0.95294189273441
Match ID: 533199, Team ID : 2883, Win or loose : 1, Probabilité de l'équipe ID: 0.9274287552115587
Match ID: 533206, Team ID : 2882, Win or loose : 0, Probabilité de l'équipe ID: 0.3596065552655513
Match ID: 533209, Team ID : 1452, Win or loose : 0, Probabilité de l'équipe ID: 0.05610939826054986
Match ID: 533210, Team ID : 1589, Win or loose : 1, Probabilité de l'équipe ID: 0.7675211133132513
Match ID: 533211, Team ID : 120, Win or loose : 0, Probabilité de l'équipe ID: 0.052417512471899276
Match ID: 533212, Team ID : 100, Win or loose : 0, Probabilité de l'équipe ID: 0.37884281843898304
Match ID: 533213, Team ID : 64, Win or loose : 1, Probabilité de l'équipe ID: 0.8953724894459913
Match ID: 533214, Team ID : 1452, Win or loose : 1, Probabilité de l'équipe ID: 0.945056692338523
Match ID: 533215, Team ID : 2883, Win or loose : 0, Probabilité de l'équipe ID: 0.061159485833751845
Match ID: 533216, Team ID : 120, Win or loose : 1, Probabilité de l'équipe ID: 0.5902918888124471
Match ID: 533217, Team ID : 64, Win or loose : 0, Probabilité de l'équipe ID: 0.06470639570360001
Match ID: 533218, Team ID : 2882, Win or loose : 0, Probabilité de l'équipe ID: 0.052617313928682484
Match ID: 533219, Team ID : 2883, Win or loose : 0, Probabilité de l'équipe ID: 0.29381873301111766
Match ID: 533220, Team ID : 1452, Win or loose : 1, Probabilité de l'équipe ID: 0.9499210181878892
Match ID: 533221, Team ID : 75013, Win or loose : 1, Probabilité de l'équipe ID: 0.7387081041323805
Match ID: 533222, Team ID : 100, Win or loose : 0, Probabilité de l'équipe ID: 0.053328221882049255
Match ID: 533223, Team ID : 64, Win or loose : 1, Probabilité de l'équipe ID: 0.896631979989454
Match ID: 533224, Team ID : 63, Win or loose : 0, Probabilité de l'équipe ID: 0.26756607778579883
Match ID: 536585, Team ID : 395, Win or loose : 0, Probabilité de l'équipe ID: 0.057222051073618316
